Front,Back
IAM,"Controls who can do what in AWS. Users · groups · roles · policies. KEYWORDS: least privilege · trust policy · instance profile · SCP · permission boundary · explicit deny. TRADE-OFF: Broad permissions = fast setup but large blast radius. Least privilege = slower but limits damage."
IAM Role,"Temporary identity for AWS services — no long-lived credentials. KEYWORDS: assume role · trust policy · instance profile · STS · no access keys. USE WHEN: EC2 needs S3, Lambda needs DynamoDB, cross-account access."
AWS Organizations / SCPs,"Manage multiple accounts. SCPs = hard limits on what any account in an OU can do. KEYWORDS: OU · management account · SCP · guardrail · consolidated billing. TRADE-OFF: One wrong SCP can break an account — test carefully."
VPC,"Logically isolated private network. Resources unreachable by default. KEYWORDS: subnet · route table · Internet Gateway · NAT Gateway · CIDR · private/public · peering · Transit Gateway. TRADE-OFF: CIDR blocks are hard to change after creation — plan upfront."
Security Groups,"Stateful firewall at the resource level (EC2, RDS, ALB). KEYWORDS: stateful · inbound/outbound · allow only · no explicit deny · port 22 · port 443. TRADE-OFF: No explicit deny — misconfigured rule silently opens access."
NACLs,"Stateless subnet-level firewall. Must allow BOTH inbound AND outbound explicitly. KEYWORDS: stateless · subnet-level · explicit allow AND deny · rule number. TRADE-OFF: Forgetting return traffic breaks connections."
KMS,"Manages encryption keys. Never exposes raw key material. KEYWORDS: CMK · AWS managed key · customer managed key · key policy · envelope encryption · rotation · CloudTrail audit. TRADE-OFF: AWS Managed Keys are free. CMKs cost $1/month but give you control."
Secrets Manager,"Stores and auto-rotates secrets. Apps fetch at runtime — no secrets in code. KEYWORDS: automatic rotation · Lambda rotation · versioning · cross-account. USE WHEN: DB passwords · API keys · any credential that should never be in source."
AWS Shield,"DDoS protection. Standard = free + automatic. Advanced = $3k/month + SRT access. KEYWORDS: DDoS · Layer 3/4 · SYN flood · volumetric · SRT · cost protection. EXAM: Standard always on. Advanced for high-profile targets and SLA guarantees."
AWS WAF,"Layer 7 HTTP firewall. Blocks SQL injection, XSS, bots, rate-limits. KEYWORDS: Web ACL · managed rules · OWASP Top 10 · rate limit · SQL injection · XSS · attach to CloudFront/ALB/API Gateway. TRADE-OFF: Managed rules fast but can false-positive."
GuardDuty,"Behavioral threat detection using ML on CloudTrail + VPC Flow Logs + DNS. KEYWORDS: behavioral · ML · findings · Tor exit node · crypto mining · 30-day free trial. TRADE-OFF: Detects anomalies but requires human review to respond."
CloudTrail,"Records every API call: who · what · when · from where · result. KEYWORDS: audit · 90-day default · S3 trail · log integrity validation · management events · data events. USE WHEN: Compliance, forensics, security baseline."
